date,data
2018-02-21,1463.8049999999998
2018-02-22,1566.81
2018-02-23,1403.8500000000001
2018-02-24,358.575
2018-02-25,355.42499999999995
2018-02-26,1733.2350000000001
2018-02-27,1627.5
2018-02-28,1623.51
2018-03-01,1410.0449999999998
2018-03-02,1317.9600000000003
2018-03-03,249.375
2018-03-04,190.78500000000003
2018-03-05,1784.6849999999997
2018-03-06,1678.0050000000006
2018-03-07,1789.8299999999997
2018-03-08,1748.1449999999998
2018-03-09,1529.43
2018-03-10,356.6850000000002
2018-03-11,897.8550000000001
2018-03-12,1824.27
2018-03-13,1912.7849999999994
2018-03-14,1830.3599999999994
2018-03-15,1866.6900000000003
2018-03-16,1546.23
2018-03-17,310.2750000000001
2018-03-18,192.77999999999997
2018-03-19,183.43499999999997
2018-03-20,1923.9149999999995
2018-03-21,1135.995
2018-03-22,2115.33
2018-03-23,1544.6549999999997
2018-03-24,414.015
2018-03-25,214.83
2018-03-26,1832.7749999999999
2018-03-27,1586.4450000000002
2018-03-28,1544.3400000000004
2018-03-29,164.32500000000005
2018-03-30,163.90500000000003
2018-03-31,164.21999999999997
2018-04-01,172.41
2018-04-02,1747.7250000000001
2018-04-03,1567.5450000000003
2018-04-04,1775.4450000000002
2018-04-05,1695.8549999999998
2018-04-06,1444.2749999999999
2018-04-07,402.8850000000001
2018-04-08,871.2899999999998
2018-04-09,1638.6299999999999
2018-04-10,1638.7350000000001
2018-04-11,1682.3100000000002
2018-04-12,1575.525
2018-04-13,1432.3049999999998
2018-04-14,229.32000000000008
2018-04-15,177.76500000000001
2018-04-16,1712.025
2018-04-17,1478.9250000000002
2018-04-18,1618.575
2018-04-19,1604.8200000000002
2018-04-20,1363.215
2018-04-21,227.63999999999993
2018-04-22,839.3699999999999
2018-04-23,1827.5250000000003
2018-04-24,1641.8849999999995
2018-04-25,1747.2000000000003
2018-04-26,1733.1300000000003
2018-04-27,1354.8149999999998
2018-04-28,500.1150000000001
2018-04-29,395.0100000000001
2018-04-30,1706.9849999999997
2018-05-01,209.99999999999997
2018-05-02,1796.4449999999997
2018-05-03,1710.5549999999998
2018-05-04,1525.3349999999998
2018-05-05,385.77000000000004
2018-05-06,180.07500000000002
2018-05-07,1651.1250000000002
2018-05-08,1586.1299999999997
2018-05-09,1442.2800000000004
2018-05-10,1416.345
2018-05-11,1400.2800000000004
2018-05-12,262.6050000000001
2018-05-13,170.73
2018-05-14,1811.0399999999997
2018-05-15,1627.4999999999998
2018-05-16,1719.2699999999995
2018-05-17,1656.9000000000003
2018-05-18,1475.4600000000003
2018-05-19,402.2549999999999
2018-05-20,243.59999999999997
2018-05-21,1772.61
2018-05-22,1667.8199999999997
2018-05-23,1626.0299999999993
2018-05-24,1492.575
2018-05-25,1256.01
2018-05-26,301.24500000000006
2018-05-27,186.26999999999998
2018-05-28,1698.69
2018-05-29,1700.7900000000002
2018-05-30,1584.5550000000003
2018-05-31,187.10999999999996
2018-06-01,1245.2999999999997
2018-06-02,316.1550000000002
2018-06-03,178.08
2018-06-04,1674.96
2018-06-05,1583.8200000000002
2018-06-06,1755.3899999999996
2018-06-07,1535.31
2018-06-08,1408.4699999999998
2018-06-09,478.9049999999999
2018-06-10,173.24999999999994
2018-06-11,1616.5799999999995
2018-06-12,1418.3400000000001
2018-06-13,1636.5300000000002
2018-06-14,1458.5549999999996
2018-06-15,1341.3750000000002
2018-06-16,297.465
2018-06-17,242.02499999999998
2018-06-18,1561.3499999999997
2018-06-19,1509.375
2018-06-20,1655.64
2018-06-21,1500.9750000000001
2018-06-22,887.565
2018-06-23,221.55
2018-06-24,198.02999999999994
2018-06-25,1518.9299999999998
2018-06-26,1391.355
2018-06-27,599.97
2018-06-28,1400.7000000000003
2018-06-29,1142.0849999999998
2018-06-30,250.10999999999993
2018-07-01,205.37999999999988
2018-07-02,590.8349999999998
2018-07-03,1086.9600000000003
2018-07-04,884.4150000000001
2018-07-05,701.1899999999999
2018-07-06,423.8850000000001
2018-07-07,218.29499999999996
2018-07-08,179.33999999999997
2018-07-09,848.7149999999998
2018-07-10,608.475
2018-07-11,668.535
2018-07-12,572.25
2018-07-13,630.0000000000002
2018-07-14,251.47500000000008
2018-07-15,221.655
2018-07-16,612.5700000000002
2018-07-17,706.4399999999999
2018-07-18,597.2399999999999
2018-07-19,605.2199999999997
2018-07-20,557.76
2018-07-21,227.85000000000008
2018-07-22,625.9050000000001
2018-07-23,673.2599999999999
2018-07-24,794.1150000000001
2018-07-25,667.1699999999998
2018-07-26,753.48
2018-07-27,625.5899999999999
2018-07-28,180.81
2018-07-29,168.83999999999997
2018-07-30,624.6449999999999
2018-07-31,900.27
2018-08-01,804.7199999999999
2018-08-02,718.6200000000002
2018-08-03,692.2649999999999
2018-08-04,238.24500000000003
2018-08-05,176.60999999999999
2018-08-06,1623.9299999999998
2018-08-07,1353.9750000000004
2018-08-08,1490.5800000000002
2018-08-09,1414.35
2018-08-10,1266.93
2018-08-11,331.79999999999995
2018-08-12,167.68500000000003
2018-08-13,1608.7050000000004
2018-08-14,1459.2900000000002
2018-08-15,168.20999999999995
2018-08-16,1509.2700000000004
2018-08-17,1459.71
2018-08-18,456.2250000000001
2018-08-19,210.42000000000004
2018-08-20,1744.995
2018-08-21,1570.065
2018-08-22,1626.765
2018-08-23,1460.6549999999997
2018-08-24,1392.8250000000005
2018-08-25,417.4800000000001
2018-08-26,195.50999999999996
2018-08-27,1672.6499999999999
2018-08-28,1456.2450000000001
2018-08-29,1565.235
